08-12-2026doc-ver.txt: 22 LP docs, 81 party rows
08-13-2026doc-ver.txt: 22 LP docs, 78 party rows
08-14-2026doc-ver.txt: 17 LP docs, 76 party rows
08-17-2026doc-ver.txt: 29 LP docs, 127 party rows
08-18-2026doc-ver.txt: 14 LP docs, 59 party rows
08-19-2026doc-ver.txt: 5 LP docs, 18 party rows
08-20-2026doc-ver.txt: 29 LP docs, 104 party rows
08-21-2026doc-ver.txt: 26 LP docs, 117 party rows
08-24-2026doc-ver.txt: 27 LP docs, 128 party rows
08-25-2026doc-ver.txt: 22 LP docs, 106 party rows
db total: 5831 LP records; csv rows: 5831
